id	filename	md5	size	state
0b629d9b-ea0b-4a78-ab3f-fe01893f4d0c	0b629d9b-ea0b-4a78-ab3f-fe01893f4d0c/88da274f-e289-44c1-acac-3c537850f3d6.wxs.aliquot_ensemble_masked.maf.gz	5dfaffb689a2784cc9357ed56a43cce3	11465	validated
0bc6e5ec-7e57-429a-989b-81e254e50441	0bc6e5ec-7e57-429a-989b-81e254e50441/6b3ef737-6e00-4c54-ab00-5335a166e04f.wxs.aliquot_ensemble_masked.maf.gz	4cb58e819b6110ef3824893d42c5c87e	25421	validated
0c0e50d7-2fa2-4043-8549-c0a86ac8fd3c	0c0e50d7-2fa2-4043-8549-c0a86ac8fd3c/a7ea7afd-bacf-46f8-a99f-6c9f60659a59.wxs.aliquot_ensemble_masked.maf.gz	1c89c379967c7cf5bb5e238c51aaa0d4	753453	validated
0c91cb81-fc1b-4f83-be46-2cfcfad6914d	0c91cb81-fc1b-4f83-be46-2cfcfad6914d/47dda5ef-7c14-4439-a7c6-32b2537d3ce7.wxs.aliquot_ensemble_masked.maf.gz	3a2c414006542a43d0c4512dd2461cd1	21517	validated
0d3b6422-b9ba-4d24-b674-74d443f44db5	0d3b6422-b9ba-4d24-b674-74d443f44db5/e9bc2a44-b1a0-4267-894a-02e93db3d749.wxs.aliquot_ensemble_masked.maf.gz	8c884b23dd15ce9cd81f8e516f7554de	28085	validated
0d695939-f880-4934-b3ee-63b5dbef3f8a	0d695939-f880-4934-b3ee-63b5dbef3f8a/ed100480-c00b-4c80-beb5-ed1702b83735.wxs.aliquot_ensemble_masked.maf.gz	d167727677431321eb933a514169c74b	91568	validated
0db84d72-6cad-4759-9e76-901c34ccd073	0db84d72-6cad-4759-9e76-901c34ccd073/d53a6060-820c-4d3b-b9ec-9a1291115616.wxs.aliquot_ensemble_masked.maf.gz	3edd02b012a6bc923558f1ce01de4ecc	11806	validated
0ded01b8-6a48-471b-955e-27d3675382a5	0ded01b8-6a48-471b-955e-27d3675382a5/646f4424-6d53-4d5d-9af1-3672f7f4e2a1.wxs.aliquot_ensemble_masked.maf.gz	23be06b96df92500ecd7d30305dd30ce	290555	validated
0e51f5a2-5fd3-4492-b9d4-d264cc7faf67	0e51f5a2-5fd3-4492-b9d4-d264cc7faf67/63e5816d-faaa-431e-8db4-76b5a31ff316.wxs.aliquot_ensemble_masked.maf.gz	2f7479c0b4a618d13719e5f5416ac3f9	14838	validated
0e601b0b-16fa-4751-91c5-1b154441e8ed	0e601b0b-16fa-4751-91c5-1b154441e8ed/824f759c-8ef5-4c53-bb58-39cea1873e45.wxs.aliquot_ensemble_masked.maf.gz	98b98b7be522c096487debbbeb5693bc	15156	validated
0ec7474b-8748-471b-8768-e956f7b05fd8	0ec7474b-8748-471b-8768-e956f7b05fd8/d6ea4530-821f-4070-9e41-003fc90ecb00.wxs.aliquot_ensemble_masked.maf.gz	879320fe90e311cd37a2e356e17f6099	50991	validated
0f00a45e-d0a9-4d73-b01c-121640abaf92	0f00a45e-d0a9-4d73-b01c-121640abaf92/4d36986a-d74a-411c-8497-e256e0029478.wxs.aliquot_ensemble_masked.maf.gz	465e3cc1861d3e38db042dfd5f1b2a3b	24585	validated
0f5a87bb-4703-48cf-86d7-3661f4e25ad8	0f5a87bb-4703-48cf-86d7-3661f4e25ad8/6cc4afa3-6378-44de-9341-7b3bf8586cb5.wxs.aliquot_ensemble_masked.maf.gz	2754c315ae75a30563d1d7bc06a53c6c	28744	validated
101c1041-73f8-4e5f-822e-5be599373f1e	101c1041-73f8-4e5f-822e-5be599373f1e/14224646-383c-4120-a43e-4e6f94ea2d5a.wxs.aliquot_ensemble_masked.maf.gz	2b5d88e0b0a63c16b8bedf6e27436b45	50394	validated
10dd8483-bd59-4139-99e8-d6b59f9a817e	10dd8483-bd59-4139-99e8-d6b59f9a817e/18922700-3d7a-47b7-926a-1f5c912b6e46.wxs.aliquot_ensemble_masked.maf.gz	1f02d2a085a7c499084b9c4d81b264c4	36309	validated
11098040-1538-4e61-a620-a4a04980c735	11098040-1538-4e61-a620-a4a04980c735/e6838391-116f-47f1-9843-6bea3ac077cb.wxs.aliquot_ensemble_masked.maf.gz	a4558240be7457dee36d723a0f6c9227	47220	validated
118059ba-098d-4f34-8d8d-e6f973d6a194	118059ba-098d-4f34-8d8d-e6f973d6a194/78e123b5-21d6-48a7-abf0-14014faae2f8.wxs.aliquot_ensemble_masked.maf.gz	7a6b95c2d3b70cdd0c272590d270ee92	63272	validated
1181e797-92c4-4504-bb2b-a008f50b538a	1181e797-92c4-4504-bb2b-a008f50b538a/5a720b81-95f7-44ad-acba-da398f09e857.wxs.aliquot_ensemble_masked.maf.gz	d26ccb6f76113f38df47b9d24ae7d66f	1625841	validated
11b28eea-b3ae-4be8-a968-ff7140639539	11b28eea-b3ae-4be8-a968-ff7140639539/8d7bdeb9-d524-4076-8387-707a06f77994.wxs.aliquot_ensemble_masked.maf.gz	fbe9343b3d225651257f0131c5beda28	28858	validated
125eb364-cd54-4b0d-b9ba-8615c354bec3	125eb364-cd54-4b0d-b9ba-8615c354bec3/0b523aff-5447-4e71-85dc-4e5f85434a32.wxs.aliquot_ensemble_masked.maf.gz	bcfda43273375c26198e2726c50df02a	24541	validated
1271915c-83ed-410b-8bca-1aa71d0ac1b4	1271915c-83ed-410b-8bca-1aa71d0ac1b4/9a5488d0-ef96-4193-a39e-b70b551a4b1d.wxs.aliquot_ensemble_masked.maf.gz	582e930d2df719a6851cc0f0f160a880	39508	validated
1291ddc2-89d6-43a9-b038-8b4be05424d9	1291ddc2-89d6-43a9-b038-8b4be05424d9/36762716-6d41-4630-b68f-acae7774ebb1.wxs.aliquot_ensemble_masked.maf.gz	a8817566f1937e2ab820b43c104a4e79	77048	validated
1299214c-3e0b-4614-8cd7-6eb3692bbba2	1299214c-3e0b-4614-8cd7-6eb3692bbba2/e43d3691-25f4-4767-aa26-611cd2397fe6.wxs.aliquot_ensemble_masked.maf.gz	2621764ecb9eeb146505d3b7b4018a08	21755	validated
